Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3008_1x2450,1,Battery_Cell,
"C1, C11, C13, C14, C15, C16, C26, C8, C9",0603,9,100n,
"C10, C17, C18, C19, C2, C21, C23, C24, C25",0603,9,1u,
"C12, C22",0805,2,4.7u,
C20,0805,1,22u,
C27,0603,1,1.9p,
C28,0603,1,7.2p,
C29,0603,1,1.3p,
C3,0603,1,470n,
C30,0603,1,220p,
"C4, C5",0603,2,100p,
"C6, C7",0603,2,12p,
D1,0603,1,LED,
D2,D_SOD-123,1,1N4148W,
"FB1, FB2, FB3, FB4",0603,4,FerriteBead,
J1,FTSH-105-XX-YYY-DV-K-A,1,FTSH-105-01-L-DV-K-A,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"J4, J5",SMA_Molex_73251-2200_Horizontal,2,Conn_Coaxial,
"J6, J7, J8, J9",JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical,4,Conn_01x05,
L1,L_APV_ANR3015,1,2.2u,
L2,0603,1,1.5n,
L3,0603,1,18n,
L4,0603,1,1.3n,
L5,0603,1,13n,
"Q1, Q2",SOT-23,2,AO3401A,
R1,0603,1,470,
"R2, R4",0603,2,100,
R3,0603,1,10k,
"R5, R6",0603,2,5.1k,
"R7, R8, R9",0603,3,36k,
"S1, S2",RKB2SJM250SMTRLFS,2,RKB2SJM250SMTR_LFS,
SC1,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,Solar_Cells,
U1,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,1,EFR32FG23L020F128GM40-C,
U2,DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm,1,Si7021-A20,
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,CN3063,
U4,SOT95P280X145-5N,1,TLV74033PDBVR,
U5,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,CH340N,
U6,SOT-23-5,1,TPS7A0522PDBV,
U7,MSOP-8_3x3mm_P0.65mm,1,ADG902BRMZ,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,39MHz 10pF,
